gender,Age,abonoment_type,visit_per_week,avg_time_in_gym,drink_abo,fav_drink,name_personal_trainer,uses_sauna,weekend_ratio,num_classes_attended,ratio_cardio,ratio_strength,ratio_mind_body,total_minutes,berry_boost,black_currant,coconut_pineapple,lemon,orange,passion_fruit,sauna_session_impact
Female,27,Premium,4,116,False,,No one,True,0.25,3.0,0.3333333333333333,0.6666666666666666,0.0,1171,0,0,0,0,0,0,116
Female,47,Standard,3,48,False,,Chantal,False,0.3333333333333333,0.0,0.0,0.0,0.0,1171,0,0,0,0,0,0,0
Male,41,Premium,1,123,True,"berry_boost, lemon",Mike,False,1.0,1.0,0.0,1.0,0.0,509,1,0,0,1,0,0,0
Male,44,Premium,3,99,True,passion_fruit,Mike,True,0.3333333333333333,0.0,0.0,0.0,0.0,594,0,0,0,0,0,1,99
Male,44,Standard,2,50,False,,Mike,False,0.0,3.0,0.6666666666666666,0.0,0.3333333333333333,509,0,0,0,0,0,0,0
Female,15,Standard,1,180,False,,No one,True,0.0,0.0,0.0,0.0,0.0,1039,0,0,0,0,0,0,180
Male,30,Premium,3,62,False,,No one,False,0.3333333333333333,2.0,0.0,0.5,0.0,1186,0,0,0,0,0,0,0
Male,20,Standard,2,95,True,coconut_pineapple,No one,True,0.0,2.0,0.0,0.5,0.5,1065,0,0,1,0,0,0,95
Male,46,Premium,3,92,True,"orange, lemon",Mike,False,0.6666666666666666,1.0,0.0,1.0,0.0,585,0,0,0,1,1,0,0
Female,24,Premium,1,144,False,,Jeffrey,True,0.0,0.0,0.0,0.0,0.0,785,0,0,0,0,0,0,144
Male,41,Standard,1,36,False,,Hanna,False,0.0,0.0,0.0,0.0,0.0,830,0,0,0,0,0,0,0
Male,27,Premium,3,33,True,passion_fruit,Mike,True,0.0,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,612,0,0,0,0,0,1,33
Female,30,Standard,2,158,True,passion_fruit,No one,True,0.5,3.0,0.6666666666666666,0.3333333333333333,0.0,1024,0,0,0,0,0,1,158
Female,35,Premium,3,61,True,black_currant,No one,False,0.0,0.0,0.0,0.0,0.0,1190,0,1,0,0,0,0,0
Female,35,Premium,1,145,True,"orange, black_currant",Mike,False,1.0,0.0,0.0,0.0,0.0,1212,0,1,0,0,1,0,0
Female,36,Standard,4,61,False,,No one,False,0.0,3.0,0.6666666666666666,0.3333333333333333,0.0,1048,0,0,0,0,0,0,0
Male,37,Premium,3,161,False,,Jeffrey,True,0.6666666666666666,0.0,0.0,0.0,0.0,565,0,0,0,0,0,0,161
